Date,Probability,Predicter
2022-04-09 23:59:40+00:00,0.0005510000000000001,525527.546875
2022-04-10 23:59:44+00:00,0.0018198,524462.94140625
2022-04-11 23:59:59+00:00,0.0008808,517954.80078125
2022-04-12 23:59:02+00:00,0.0005195999999999999,516438.11328125
2022-04-13 23:58:36+00:00,-0.0012971999999999999,
2022-04-14 23:54:19+00:00,0.0,
2022-04-15 23:59:41+00:00,0.0008808,
2022-04-16 23:58:30+00:00,0.0014006000000000001,516990.67578125
2022-04-17 23:58:40+00:00,-0.0005463999999999999,519499.2734375
2022-04-18 23:59:48+00:00,0.0,521434.34765625
2022-04-19 23:59:07+00:00,0.0007635999999999999,518013.125
2022-04-20 23:59:24+00:00,0.0019008,508345.796875
